                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9282,                 3.5608,                 1.8681,                0.31264,                0.21024,                0.16482,                0.05416,                 2.4393,                 2.3954,                 1.3832,              0.0033173,              0.0033173,              0.0033173
                      2,                 2.4756,                 2.4701,                 1.5175,                0.36701,                0.28437,                0.26039,                0.09169,                 2.3341,                 1.9728,                 1.4449,              0.0066287,              0.0066287,              0.0066287
                      3,                 2.4476,                 2.2944,                 1.5179,                0.26239,                0.21518,                0.15722,                0.05298,                 2.5054,                 2.2456,                 1.4792,              0.0099181,              0.0099181,              0.0099181
                      4,                 2.4289,                 2.1713,                 1.5133,                0.38254,                0.22058,                0.20735,                0.08046,                 2.3352,                 2.2521,                 1.4443,               0.009901,               0.009901,               0.009901
                      5,                 2.3716,                 2.0712,                 1.5131,                0.39224,                0.31941,                0.27457,                0.10787,                 2.2116,                 1.8645,                 1.3845,               0.009868,               0.009868,               0.009868
                      6,                  2.339,                 1.9817,                 1.4957,                0.40848,                0.31736,                0.27688,                0.10606,                 2.2497,                  1.932,                 1.4466,               0.009835,               0.009835,               0.009835
                      7,                 2.3205,                 1.9337,                 1.4774,                0.46469,                0.34201,                0.34203,                0.13294,                 2.1974,                 1.7293,                 1.4026,               0.009802,               0.009802,               0.009802
                      8,                 2.3016,                 1.9043,                  1.472,                0.43644,                0.37816,                0.34044,                0.13566,                 2.1934,                 1.7187,                 1.3831,               0.009769,               0.009769,               0.009769
                      9,                 2.2737,                 1.8623,                  1.459,                0.44328,                0.36029,                0.34691,                0.14587,                 2.1175,                 1.6961,                 1.3692,               0.009736,               0.009736,               0.009736
                     10,                 2.2611,                 1.8379,                 1.4627,                0.50499,                0.37781,                 0.3758,                0.15477,                 2.1328,                 1.6171,                 1.3433,               0.009703,               0.009703,               0.009703
                     11,                 2.2313,                 1.8007,                 1.4307,                0.49477,                0.39757,                0.39275,                0.16613,                 2.0726,                 1.6162,                 1.3404,                0.00967,                0.00967,                0.00967
                     12,                 2.2175,                 1.7679,                 1.4225,                0.49395,                0.40162,                0.39068,                0.15876,                 2.1088,                 1.6076,                 1.3268,               0.009637,               0.009637,               0.009637
                     13,                 2.2092,                 1.7404,                 1.4112,                0.47649,                 0.4115,                0.39927,                0.16722,                 2.0653,                 1.5788,                 1.3132,               0.009604,               0.009604,               0.009604
                     14,                 2.1969,                 1.7255,                 1.4284,                0.47773,                0.40027,                0.39476,                0.16543,                   2.07,                 1.5939,                 1.3117,               0.009571,               0.009571,               0.009571
                     15,                 2.1829,                 1.7162,                 1.3943,                0.49531,                0.41509,                0.40254,                0.17309,                 2.0454,                 1.5321,                 1.3205,               0.009538,               0.009538,               0.009538
                     16,                 2.1679,                 1.6956,                 1.3979,                0.48018,                0.37601,                0.36857,                0.15567,                 2.0807,                 1.6432,                 1.3403,               0.009505,               0.009505,               0.009505
                     17,                 2.1677,                 1.6852,                 1.3848,                0.48553,                0.41125,                 0.3835,                0.16053,                 2.0482,                 1.6054,                 1.3191,               0.009472,               0.009472,               0.009472
                     18,                 2.1505,                 1.6591,                 1.3839,                0.54062,                0.39353,                0.42605,                0.18175,                 2.0484,                 1.5168,                 1.3122,               0.009439,               0.009439,               0.009439
                     19,                 2.1463,                 1.6654,                 1.3833,                0.54477,                 0.4247,                0.44249,                0.18785,                 2.0078,                 1.4812,                 1.2855,               0.009406,               0.009406,               0.009406
                     20,                 2.1391,                 1.6255,                 1.3727,                0.53769,                 0.4106,                0.42567,                0.18048,                 2.0224,                 1.5271,                 1.2911,               0.009373,               0.009373,               0.009373
